Mã tỉnh thành,Tên tỉnh thành,Mã quốc gia,Trạng thái
01,Thành phố Hà Nội,VN,1
04,Tỉnh Cao Bằng,VN,1
08,Tỉnh Tuyên Quang,VN,1
11,Tỉnh Điện Biên,VN,1
12,Tỉnh Lai Châu,VN,1
14,Tỉnh Sơn La,VN,1
15,Tỉnh Lào Cai,VN,1
19,Tỉnh Thái Nguyên,VN,1
20,Tỉnh Lạng Sơn,VN,1
22,Tỉnh Quảng Ninh,VN,1
24,Tỉnh Bắc Ninh,VN,1
25,Tỉnh Phú Thọ,VN,1
31,Thành phố Hải Phòng,VN,1
33,Tỉnh Hưng Yên,VN,1
37,Tỉnh Ninh Bình,VN,1
38,Tỉnh Thanh Hóa,VN,1
40,Tỉnh Nghệ An,VN,1
42,Tỉnh Hà Tĩnh,VN,1
44,Tỉnh Quảng Trị,VN,1
46,Thành phố Huế,VN,1
48,Thành phố Đà Nẵng,VN,1
51,Tỉnh Quảng Ngãi,VN,1
52,Tỉnh Gia Lai,VN,1
56,Tỉnh Khánh Hòa,VN,1
66,Tỉnh Đắk Lắk,VN,1
68,Tỉnh Lâm Đồng,VN,1
75,Tỉnh Đồng Nai,VN,1
79,Thành phố Hồ Chí Minh,VN,1
80,Tỉnh Tây Ninh,VN,1
82,Tỉnh Đồng Tháp,VN,1
86,Tỉnh Vĩnh Long,VN,1
91,Tỉnh An Giang,VN,1
92,Thành phố Cần Thơ,VN,1
96,Tỉnh Cà Mau,VN,1
